Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,26-Jun-2025,26-Jun-2025,CE,20700.00,-,-,-,4254.90,4254.90,25549.00,-,-,-,600.00,-,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,26300.00,0.50,1.00,0.05,0.20,0.05,25549.00,385816.00,7610347.70,127.10,1441200.00,-362025.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,26950.00,0.65,1.00,0.05,0.15,0.05,25549.00,61889.00,1250945.95,14.54,410700.00,410700.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,22600.00,2841.85,2915.00,2747.25,2915.00,2915.00,25549.00,27.00,514.56,56.91,2175.00,-1275.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,23600.00,1707.10,1963.20,1699.05,1952.75,1952.00,25549.00,147.00,2809.60,207.70,13200.00,-4725.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,20000.00,5343.55,5567.05,5320.00,5557.25,5560.00,25549.00,699.00,13328.94,2843.94,90900.00,-17925.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,21450.00,-,-,-,3807.85,3807.85,25549.00,-,-,-,1725.00,-,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,23250.00,-,-,-,2002.45,2002.45,25549.00,-,-,-,1725.00,-,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,26850.00,0.55,0.90,0.05,0.15,0.05,25549.00,113952.00,2294740.53,32.13,933375.00,134250.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,21700.00,-,-,-,3573.40,3573.40,25549.00,-,-,-,1350.00,-,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,23500.00,1800.00,2062.00,1792.35,2051.90,2051.40,25549.00,2448.00,46684.30,3538.30,263475.00,-81225.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,25950.00,1.00,1.45,0.05,0.15,0.05,25549.00,1131987.00,22031838.65,541.66,1467300.00,-97650.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,23850.00,1540.05,1670.00,1481.00,1670.00,1670.00,25549.00,25.00,476.00,28.81,3300.00,-75.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,25000.00,290.00,560.25,274.90,549.65,550.00,25549.00,229515.00,4372098.97,68692.72,3706300.00,-1732825.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,22550.00,-,-,-,2724.40,2724.40,25549.00,-,-,-,2100.00,-,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,23650.00,1845.00,1845.00,1845.00,1845.00,1845.00,25549.00,2.00,38.24,2.77,1275.00,-150.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,24950.00,319.05,610.60,319.05,598.60,604.80,25549.00,21385.00,407327.19,7160.38,790500.00,-149400.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,22750.00,2670.00,2805.00,2650.00,2805.00,2805.00,25549.00,19.00,362.43,38.24,2025.00,-450.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,25600.00,3.40,26.00,0.05,0.85,0.05,25549.00,15963183.00,306563117.97,70004.37,8375325.00,682275.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,22000.00,3305.00,3563.00,3295.75,3556.40,3550.00,25549.00,2815.00,53722.66,7275.16,376500.00,-64875.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,26250.00,0.65,1.10,0.05,0.20,0.05,25549.00,278527.00,5483594.83,94.52,537225.00,-241350.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,24100.00,1211.25,1458.45,1191.35,1450.80,1451.55,25549.00,418.00,7967.35,412.00,15750.00,-5925.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,26500.00,0.55,0.85,0.05,0.15,0.05,25549.00,700379.00,13920231.25,198.63,3263400.00,-1862325.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,24600.00,675.10,958.60,675.10,947.55,951.00,25549.00,3524.00,67151.35,2133.55,348375.00,-63000.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,24500.00,779.00,1060.00,770.30,1049.30,1049.40,25549.00,10288.00,196144.29,7102.29,818625.00,-268950.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,23400.00,1900.05,2325.40,1900.00,2162.40,2153.00,25549.00,139.00,2653.69,214.24,4800.00,-5850.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,22300.00,3035.00,3300.00,3035.00,3300.00,3300.00,25549.00,31.00,591.03,72.56,1875.00,-1050.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,28000.00,0.40,0.75,0.05,0.10,0.05,25549.00,346074.00,7267628.19,74.19,2027525.00,506275.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,25050.00,230.00,510.05,229.85,499.75,499.50,25549.00,64812.00,1234129.97,16474.52,1261800.00,-214350.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,17000.00,8394.20,8525.00,8298.85,8525.00,8525.00,25549.00,98.00,1866.81,617.31,35025.00,-3025.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,26200.00,1.10,1.10,0.05,0.15,0.05,25549.00,734228.00,14427822.52,242.32,2804850.00,-1131525.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,20500.00,4888.35,5060.00,4791.15,5051.90,5050.05,25549.00,95.00,1813.03,352.40,12975.00,-3750.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,21300.00,-,-,-,3952.25,3952.25,25549.00,-,-,-,900.00,-,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,22800.00,2587.60,2762.15,2525.00,2757.50,2753.35,25549.00,81.00,1543.53,158.43,2550.00,-3825.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,24250.00,1019.20,1297.55,1019.20,1297.40,1297.20,25549.00,167.00,3183.72,146.41,17100.00,-,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,23000.00,2300.00,2563.00,2292.25,2552.30,2551.10,25549.00,5421.00,103330.75,9818.50,936650.00,-224400.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,21550.00,-,-,-,3727.50,3727.50,25549.00,-,-,-,1575.00,-,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,25700.00,1.45,7.10,0.05,0.25,0.05,25549.00,9310027.00,179464055.19,13284.76,4827225.00,-756375.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,20550.00,-,-,-,3650.20,3644.70,25549.00,-,-,-,675.00,-,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,26050.00,0.75,1.20,0.05,0.15,0.05,25549.00,760450.00,14857566.20,274.32,952800.00,-232425.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,23700.00,1600.20,1857.95,1600.15,1852.65,1848.50,25549.00,244.00,4652.58,315.48,18750.00,-4650.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,23300.00,2063.65,2253.55,1990.70,2247.80,2253.05,25549.00,523.00,9957.96,818.53,12675.00,-21825.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,27000.00,0.45,0.95,0.05,0.10,0.05,25549.00,420455.00,8514320.30,106.55,6692775.00,-1745700.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,26100.00,0.80,1.10,0.05,0.10,0.05,25549.00,1172605.00,22954162.47,419.60,2689200.00,-1523925.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,23750.00,1580.00,1766.10,1580.00,1766.10,1766.10,25549.00,11.00,209.57,13.63,1725.00,-450.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,24450.00,850.00,1109.05,843.50,1100.15,1101.35,25549.00,788.00,15063.15,613.20,36300.00,300.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,26750.00,0.55,0.95,0.05,0.15,0.10,25549.00,157007.00,3149993.38,40.44,1025625.00,-154200.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,CE,23150.00,2195.00,2225.00,2190.00,2225.00,2225.00,25549.00,6.00,114.07,9.89,2325.00,-450.00,25549.00
