Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,24-Oct-2025,28-Oct-2025,CE,24950.00,987.50,1042.85,790.00,863.20,864.55,863.20,500.00,9710.15,353.90,26100.00,-5325.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,27150.00,1.60,2.15,1.25,1.85,1.60,1.85,161291.00,3284492.44,204.45,1466550.00,150000.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,25450.00,529.20,547.60,305.65,373.20,374.40,373.20,6197.00,120063.65,1778.41,158550.00,-10125.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,22750.00,-,-,-,2450.00,-,3059.50,-,-,-,-,-,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,26050.00,84.00,95.00,19.25,25.95,27.40,25.95,2425633.00,47464250.39,73445.65,6436800.00,1907250.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,23250.00,-,-,-,1725.45,1725.45,2559.80,-,-,-,-,-,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,22900.00,-,-,-,2857.10,2857.10,2909.55,-,-,-,75.00,-,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,26150.00,52.00,52.00,12.15,16.00,17.25,16.00,1669977.00,32781215.35,28791.44,6194550.00,1869525.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,26550.00,5.80,5.80,3.20,4.20,4.70,4.20,510940.00,10175666.33,1573.58,2882400.00,80475.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,25400.00,588.95,594.75,347.90,406.95,424.40,406.95,19656.00,380984.32,6537.52,1237200.00,-132675.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,26850.00,1.95,2.85,1.65,2.30,2.30,2.30,507887.00,10228442.52,868.06,2287425.00,750000.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,23150.00,-,-,-,2747.60,2747.60,2659.75,-,-,-,150.00,-,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,23600.00,2349.40,2349.40,2190.00,2200.50,2200.50,2210.00,5.00,96.94,8.44,5400.00,-300.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,23300.00,2657.95,2686.65,2451.05,2483.00,2483.00,2509.85,27.00,523.60,51.77,3075.00,-1050.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,24200.00,1750.00,1750.00,1555.00,1611.25,1608.00,1611.25,42.00,813.81,51.51,21225.00,-1725.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,27100.00,1.70,2.15,1.25,1.90,1.85,1.90,269522.00,5478389.50,354.85,3683100.00,1447425.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,23550.00,2338.15,2338.15,2254.40,2254.40,2254.40,2254.40,2.00,38.77,3.45,300.00,-,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,25600.00,400.00,416.70,183.00,236.60,240.45,236.60,220417.00,4272868.26,40861.86,1294575.00,-270150.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,26000.00,115.00,115.00,24.75,34.25,35.55,34.25,5798524.00,113305073.15,233855.15,17844600.00,6391875.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,25050.00,880.00,920.00,697.40,767.50,769.00,767.50,379.00,7344.53,224.07,47550.00,-9600.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,23000.00,2936.15,2986.15,2744.00,2817.90,2820.00,2817.90,1835.00,35569.96,3916.21,630675.00,-100950.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,24850.00,1059.60,1130.55,897.95,963.90,962.60,963.90,333.00,6462.12,255.83,33900.00,-5925.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,23400.00,2491.00,2491.00,2491.00,2491.00,2491.00,2409.90,1.00,19.42,1.87,4500.00,-75.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,24150.00,1698.20,1707.80,1673.20,1673.20,1673.20,1673.20,6.00,116.31,7.63,2700.00,-,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,24650.00,1312.05,1331.85,1097.10,1167.05,1170.80,1167.05,1266.00,24607.97,1202.80,24750.00,-44700.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,24300.00,1663.60,1665.75,1483.00,1517.50,1512.60,1517.50,74.00,1434.98,86.33,37350.00,-3675.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,23850.00,1998.15,2051.25,1903.95,1903.95,1903.95,1960.15,7.00,135.70,10.49,1050.00,-75.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,25500.00,550.00,550.00,261.00,326.00,328.00,326.00,137833.00,2671932.94,35876.82,2407800.00,-798750.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,27400.00,1.30,1.85,0.90,1.30,1.30,1.30,278243.00,5718140.93,247.28,2796375.00,1811100.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,27600.00,0.90,1.45,0.80,1.20,1.25,1.20,157891.00,3268469.37,125.67,2163075.00,899400.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,26400.00,10.90,12.20,4.85,6.30,7.20,6.30,1292087.00,25589613.03,6290.43,8584425.00,56625.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,26750.00,2.70,3.25,2.10,2.85,2.65,2.85,692837.00,13901468.04,1425.73,2515125.00,772050.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,23100.00,2778.85,2793.65,2650.00,2715.00,2715.00,2715.00,4.00,77.50,8.20,525.00,-75.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,24000.00,1922.00,1983.00,1739.60,1807.70,1816.15,1807.70,1922.00,37274.26,2678.26,346200.00,-100800.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,25700.00,310.05,325.75,118.25,159.90,161.10,159.90,1142209.00,22159240.20,143161.73,2629425.00,1153650.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,CE,26350.00,13.20,15.00,5.65,7.20,8.15,7.20,1042386.00,20606576.13,6422.81,4581075.00,1530600.00,25795.15
