Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,27-Feb-2025,27-Feb-2025,CE,24300.00,0.40,0.60,0.05,0.15,0.40,22545.05,31489.00,573893.29,6.26,573300.00,-399750.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,23550.00,0.85,0.85,0.05,0.10,0.05,22545.05,155915.00,2753902.74,54.05,1024200.00,-3975.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,25250.00,0.60,0.60,0.10,0.15,0.15,22545.05,3187.00,60354.37,0.56,97575.00,34725.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,23600.00,0.70,0.80,0.05,0.10,0.05,22545.05,195845.00,3466521.26,64.76,2061300.00,-1344525.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,25300.00,0.30,0.60,0.05,0.10,0.05,22545.05,8563.00,162484.44,1.51,122175.00,-104625.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,25900.00,0.55,0.60,0.10,0.15,0.10,22545.05,2033.00,39491.41,0.39,90675.00,17625.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,24350.00,0.50,0.60,0.05,0.10,0.10,22545.05,14177.00,258910.15,2.69,220575.00,-31875.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,25350.00,0.50,0.50,0.05,0.10,0.15,22545.05,829.00,15761.50,0.14,36975.00,-2850.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,26100.00,0.25,0.55,0.05,0.15,0.05,22545.05,11661.00,228265.92,1.84,86625.00,10125.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,24400.00,0.50,0.60,0.05,0.15,0.10,22545.05,46108.00,843784.67,8.27,510975.00,-336225.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,23650.00,0.50,0.85,0.05,0.10,0.10,22545.05,69582.00,1234233.73,23.00,580425.00,-19350.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,25400.00,0.40,0.85,0.10,0.15,0.10,22545.05,6973.00,132836.81,1.16,113100.00,20475.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,25750.00,0.55,1.40,0.05,0.15,0.05,22545.05,4873.00,94110.81,1.00,69750.00,-7875.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,24450.00,0.35,0.45,0.05,0.10,0.10,22545.05,4880.00,89487.92,0.92,142275.00,-8175.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,23700.00,0.80,0.80,0.05,0.05,0.05,22545.05,182998.00,3252839.17,49.72,2226825.00,-1282125.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,25450.00,0.25,0.45,0.05,0.15,0.05,22545.05,3213.00,61328.60,0.46,116100.00,94425.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,23850.00,0.65,0.90,0.05,0.10,0.05,22545.05,41015.00,733668.50,12.69,429375.00,18900.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,CE,24500.00,0.40,0.75,0.05,0.15,0.05,22545.05,149875.00,2753981.17,28.05,3950550.00,-2216550.00,22545.05
