Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Apr-2025,30-Apr-2025,CE,24550.00,7.00,7.00,0.05,0.15,0.05,24334.20,3212446.00,59154632.15,5470.18,3993975.00,-226275.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,CE,24600.00,3.15,4.00,0.05,0.10,0.05,24334.20,2893517.00,53389029.60,3640.95,4323750.00,-2297025.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,CE,25350.00,0.95,1.05,0.05,0.10,0.05,24334.20,185863.00,3533760.83,40.54,1098825.00,8025.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,CE,23100.00,1190.20,1285.00,1172.70,1252.35,1237.30,24334.20,677.00,12360.00,630.98,51825.00,-19875.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,CE,23150.00,1175.00,1243.80,1136.00,1227.65,1200.10,24334.20,131.00,2392.64,118.15,3600.00,-4575.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,CE,21750.00,-,-,-,2433.40,2431.75,24334.20,-,-,-,825.00,-,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,CE,24650.00,3.80,3.80,0.05,0.10,0.05,24334.20,1592017.00,29434082.67,1668.38,2512950.00,-778350.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,CE,26000.00,0.45,0.60,0.05,0.05,0.05,24334.20,371647.00,7247199.14,82.64,4357050.00,-2238225.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,CE,26050.00,0.45,0.60,0.05,0.05,0.05,24334.20,95732.00,1870381.27,17.32,1632600.00,128550.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,CE,26100.00,0.50,0.65,0.05,0.05,0.05,24334.20,490395.00,9599587.88,105.76,6534825.00,-4941300.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,CE,23200.00,1057.20,1193.35,1057.20,1178.40,1133.15,24334.20,2839.00,51886.86,2488.26,95475.00,-101775.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,CE,21800.00,2540.00,2564.00,2495.00,2564.00,2564.00,24334.20,11.00,200.81,20.96,9150.00,-300.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,CE,21850.00,-,-,-,2528.90,2528.90,24334.20,-,-,-,750.00,-,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,CE,24700.00,1.90,2.60,0.05,0.10,0.05,24334.20,1673772.00,31007955.24,1328.94,5824050.00,414000.00,24334.20
