Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,27-Mar-2025,27-Mar-2025,CE,24400.00,0.90,2.25,0.05,0.10,0.05,23591.95,682606.00,12492256.68,566.88,2883300.00,-1323825.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,23050.00,425.00,595.00,414.55,544.90,542.05,23591.95,4254.00,75294.72,1753.69,166800.00,-24900.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,23700.00,14.05,24.15,0.05,0.25,0.05,23591.95,7859236.00,139741289.80,43369.90,8766975.00,-1485150.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,24150.00,2.60,2.60,0.05,0.15,0.05,23591.95,951215.00,17229926.67,1044.98,1913475.00,-2050125.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,23100.00,367.50,548.35,363.80,493.80,492.00,23591.95,11107.00,196429.41,4000.64,875250.00,-230250.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,22950.00,506.80,691.45,506.80,646.65,643.40,23591.95,1960.00,34657.54,921.04,178050.00,-13200.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,24100.00,1.45,2.55,0.05,0.15,0.05,23591.95,2183343.00,39466030.25,2105.53,5275875.00,-6829875.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,23500.00,54.00,157.75,40.10,95.35,92.00,23591.95,3571056.00,63210212.10,270350.10,3463050.00,-3086625.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,20750.00,-,-,-,2448.60,2448.35,23591.95,-,-,-,1050.00,-,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,21550.00,-,-,-,1480.00,1480.00,23591.95,-,-,-,750.00,-,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,20400.00,3125.00,3200.00,3125.00,3200.00,3200.00,23591.95,2.00,35.34,4.74,675.00,-,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,20450.00,-,-,-,2750.15,2749.70,23591.95,-,-,-,675.00,-,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,21500.00,2036.95,2137.00,2016.55,2094.15,2096.50,23591.95,1806.00,31971.96,2850.21,90600.00,-117900.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,20350.00,-,-,-,2858.25,2858.25,23591.95,-,-,-,675.00,-,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,22200.00,1266.95,1429.70,1258.90,1392.20,1392.25,23591.95,796.00,14072.37,818.97,612525.00,-25275.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,20700.00,-,-,-,2498.95,2498.70,23591.95,-,-,-,600.00,-,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,22150.00,1379.45,1478.50,1349.60,1442.95,1442.00,23591.95,654.00,11543.27,678.70,21225.00,-25350.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,22650.00,815.90,973.60,812.45,944.35,940.80,23591.95,1057.00,18701.97,746.18,142800.00,-7950.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,21450.00,-,-,-,1758.70,1758.30,23591.95,-,-,-,975.00,-,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,20000.00,3475.00,3638.00,3464.10,3599.70,3591.95,23591.95,1190.00,21068.15,3218.15,237875.00,-38375.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,22400.00,1078.80,1243.75,1061.35,1195.85,1194.75,23591.95,1777.00,31431.46,1577.86,485325.00,-53550.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,19000.00,4480.00,4635.30,4480.00,4594.20,4593.95,23591.95,44.00,779.00,152.00,29750.00,-2375.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,21400.00,2201.00,2223.00,2190.90,2217.35,2217.35,23591.95,12.00,212.47,19.87,5625.00,-675.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,22050.00,1459.00,1579.55,1459.00,1544.80,1544.55,23591.95,140.00,2473.12,157.87,28050.00,-3750.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,21350.00,-,-,-,2381.00,2381.00,23591.95,-,-,-,2025.00,-,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,22100.00,1377.00,1540.55,1377.00,1494.90,1491.65,23591.95,519.00,9176.12,573.70,112875.00,-13875.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,21250.00,2350.00,2350.00,2350.00,2350.00,2350.00,23591.95,1.00,17.70,1.76,1575.00,-75.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,22500.00,978.65,1140.00,960.00,1093.85,1092.00,23591.95,9095.00,160904.40,7426.27,2287500.00,-447225.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,21300.00,2305.00,2321.00,2301.05,2301.10,2301.10,23591.95,7.00,123.97,12.14,4200.00,-150.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,CE,18000.00,5485.60,5646.75,5481.80,5599.50,5598.10,23591.95,466.00,8248.53,1957.53,79375.00,-32125.00,23591.95
