Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Sep-2025,30-Sep-2025,CE,27350.00,0.80,1.05,0.05,0.10,0.05,24611.10,47609.00,976601.72,22.11,114375.00,-65925.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,CE,23000.00,1720.30,1737.95,1577.95,1615.10,1614.00,24611.10,2531.00,46798.31,3138.56,304050.00,-81225.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,CE,23350.00,-,-,-,1687.10,1687.10,24611.10,-,-,-,375.00,-,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,CE,20000.00,4738.80,4738.80,4619.85,4621.30,4619.95,24611.10,149.00,2756.78,521.78,29775.00,-2775.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,CE,19000.00,5705.85,5707.30,5645.00,5645.00,5645.00,24611.10,35.00,648.29,149.54,1275.00,-1500.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,CE,26350.00,1.20,1.35,0.05,0.10,0.05,24611.10,67752.00,1338992.26,43.36,1270575.00,-249600.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,CE,25650.00,2.00,2.00,0.05,0.10,0.05,24611.10,308177.00,5928783.83,228.79,1448925.00,-18450.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,CE,21000.00,3724.50,3740.00,3591.20,3618.45,3617.60,24611.10,1119.00,20676.63,3052.38,210975.00,-2175.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,CE,27050.00,1.20,1.30,0.05,0.10,0.10,24611.10,38450.00,780075.15,20.77,338175.00,-26250.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,CE,27150.00,1.05,2.90,0.05,0.10,0.05,24611.10,33497.00,682101.00,18.34,70275.00,-47775.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,CE,26450.00,1.40,1.45,0.05,0.10,0.05,24611.10,66971.00,1328580.68,43.47,252750.00,-189150.00,24611.10
