Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,28-Aug-2025,28-Aug-2025,CE,26500.00,0.60,1.80,0.05,0.10,0.05,24500.90,216748.00,4308021.48,154.98,4938825.00,428700.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,23200.00,1379.05,1473.95,1282.80,1290.55,1296.25,24500.90,21.00,386.55,21.15,2100.00,-600.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,27150.00,0.85,1.25,0.05,0.10,0.05,24500.90,19478.00,396631.83,11.05,57525.00,15975.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,26550.00,0.80,1.80,0.05,0.10,0.10,24500.90,49842.00,992519.23,40.41,109425.00,-171300.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,26100.00,0.60,1.90,0.05,0.10,0.10,24500.90,140322.00,2746893.53,90.38,1053150.00,-209175.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24700.00,73.90,73.90,0.05,0.30,0.05,24500.90,12591526.00,233396292.32,138273.17,6081300.00,2062350.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,26150.00,0.65,1.85,0.05,0.10,0.10,24500.90,51534.00,1010751.23,40.66,266400.00,-2325.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,25000.00,6.50,6.50,0.05,0.20,0.05,24500.90,3524932.00,66097110.70,4635.70,10615950.00,-5667150.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,23150.00,1436.50,1445.00,1436.50,1445.00,1445.00,24500.90,2.00,36.89,2.17,750.00,-150.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24200.00,463.95,493.00,278.55,294.90,300.55,24500.90,15584.00,287037.57,4187.97,119175.00,-10350.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24750.00,50.00,50.00,0.05,0.25,0.10,24500.90,7331507.00,136139158.11,48059.42,3401700.00,-1945275.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,26850.00,1.00,1.55,0.05,0.15,0.05,24500.90,15696.00,316088.57,10.37,81900.00,29850.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24800.00,26.40,30.00,0.05,0.25,0.10,24500.90,7476989.00,139104330.39,32334.99,7121625.00,-4124550.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,23750.00,799.00,909.85,729.35,735.05,752.50,24500.90,165.00,3032.57,93.51,8100.00,5100.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,27400.00,0.50,1.15,0.05,0.05,0.05,24500.90,276256.00,5677158.88,98.08,2424000.00,204750.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,23700.00,885.00,960.05,779.35,786.10,802.30,24500.90,176.00,3239.15,110.75,7050.00,-300.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24400.00,291.85,296.10,78.20,94.80,100.65,24500.90,931415.00,17149083.09,104188.59,869400.00,676500.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,22650.00,2007.80,2007.80,1868.25,1868.25,1868.25,24500.90,13.00,239.32,18.48,300.00,150.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24450.00,265.25,265.25,28.20,44.80,50.75,24500.90,2158388.00,39708652.92,129212.97,1221525.00,1110225.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,22700.00,-,-,-,1861.15,1861.15,24500.90,-,-,-,75.00,-,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,25950.00,1.55,1.95,0.05,0.10,0.05,24500.90,96843.00,1884869.90,63.01,641775.00,-225150.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,23850.00,685.05,755.60,630.15,635.40,653.70,24500.90,244.00,4485.90,121.35,10800.00,7425.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,23100.00,1495.00,1577.70,1403.55,1403.55,1403.55,24500.90,9.00,165.99,10.06,2100.00,-150.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,27050.00,1.00,1.30,0.05,0.10,0.05,24500.90,28749.00,583261.32,15.98,176025.00,119775.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,26300.00,0.65,1.70,0.05,0.10,0.05,24500.90,77378.00,1526331.28,50.23,1855575.00,-97425.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,23450.00,1122.00,1153.45,1032.15,1035.10,1046.30,24500.90,81.00,1490.08,65.49,5400.00,2550.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,22750.00,-,-,-,2223.75,2223.75,24500.90,-,-,-,150.00,-,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,27100.00,1.00,1.35,0.05,0.10,0.10,24500.90,25464.00,517570.24,14.44,101625.00,53925.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,26600.00,0.70,1.70,0.05,0.10,0.05,24500.90,101049.00,2016003.37,75.82,1435725.00,-280500.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,26650.00,1.35,1.55,0.05,0.10,0.05,24500.90,30638.00,612399.68,22.66,218850.00,45150.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,25600.00,2.00,2.30,0.05,0.10,0.05,24500.90,588636.00,11302261.98,450.78,2671200.00,-3532425.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,22950.00,-,-,-,1860.00,1860.00,24500.90,-,-,-,375.00,-,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,26250.00,0.95,1.75,0.05,0.10,0.05,24500.90,56307.00,1108581.17,37.11,235050.00,-21375.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24550.00,186.00,196.20,0.05,0.75,0.05,24500.90,15586063.00,287342163.48,363778.49,10382850.00,10247775.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,23550.00,1075.00,1122.00,932.15,938.50,954.95,24500.90,89.00,1636.53,64.57,2775.00,1350.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24600.00,139.95,152.20,0.05,0.40,0.05,24500.90,21611222.00,399146876.20,419830.30,12392700.00,11056350.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,22800.00,2124.10,2124.10,1686.35,1699.40,1700.05,24500.90,1235.00,22753.45,1634.95,48750.00,-52500.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,25100.00,3.10,4.40,0.05,0.15,0.05,24500.90,2136591.00,40223596.27,2270.70,6065025.00,-4565925.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,26750.00,1.70,1.70,0.05,0.10,0.05,24500.90,22405.00,449515.10,14.79,91725.00,38025.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,25750.00,1.00,2.20,0.05,0.20,0.15,24500.90,210404.00,4063594.88,167.63,1769550.00,-201450.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,25250.00,2.00,2.95,0.05,0.20,0.05,24500.90,736854.00,13954909.05,736.42,1796700.00,-1452600.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,26000.00,0.70,1.90,0.05,0.10,0.05,24500.90,643256.00,12543902.64,410.64,8313375.00,-1529100.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,23500.00,1090.95,1194.80,982.10,993.50,1003.10,24500.90,2441.00,45024.39,2001.77,177750.00,-54300.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,27200.00,0.50,1.25,0.05,0.10,0.05,24500.90,23976.00,489123.47,13.07,100425.00,4500.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,25700.00,1.25,2.20,0.05,0.20,0.05,24500.90,415591.00,8010805.86,289.33,2960550.00,-885300.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,26700.00,0.50,1.55,0.05,0.15,0.10,24500.90,54628.00,1093961.05,35.35,808650.00,-86850.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24650.00,106.00,112.20,0.05,0.30,0.10,24500.90,14050599.00,259973407.02,212958.01,5698875.00,5062425.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,25050.00,6.90,6.90,0.05,0.20,0.05,24500.90,1684867.00,31656351.13,1912.37,4098900.00,-1647675.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,22900.00,1700.50,1700.50,1700.50,1700.50,1700.50,24500.90,1.00,18.45,1.27,600.00,-75.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,25400.00,1.25,2.55,0.05,0.15,0.05,24500.90,871552.00,16603755.81,690.21,3299550.00,-1153800.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24000.00,682.15,694.30,478.50,493.80,500.50,24500.90,14010.00,258104.80,5924.80,300900.00,-56250.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,26950.00,0.65,1.40,0.05,0.10,0.05,24500.90,26272.00,531038.35,15.55,115050.00,57375.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24100.00,542.40,590.75,379.45,392.75,402.10,24500.90,3450.00,63617.20,1258.45,39225.00,12825.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,27300.00,0.75,1.25,0.05,0.10,0.05,24500.90,32196.00,659229.26,16.16,157575.00,33225.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24300.00,430.95,430.95,178.00,195.20,200.65,24500.90,115666.00,2130983.00,22970.15,184950.00,86325.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,25900.00,0.70,2.00,0.05,0.10,0.05,24500.90,257633.00,5004682.28,161.25,1676625.00,-1380150.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,27350.00,0.75,1.15,0.05,0.10,0.05,24500.90,34424.00,706138.60,16.30,185850.00,3225.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24950.00,7.45,8.80,0.05,0.20,0.05,24500.90,2147029.00,40179807.77,3527.61,2951250.00,-3075675.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,24350.00,312.65,346.90,128.25,145.60,150.50,24500.90,110243.00,2030077.13,16764.34,205425.00,184125.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,23600.00,977.00,1064.35,881.70,888.65,894.35,24500.90,192.00,3534.07,135.67,5625.00,-975.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,26050.00,0.90,1.90,0.05,0.10,0.05,24500.90,82605.00,1613951.67,56.48,626850.00,-145200.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,25850.00,0.90,2.10,0.05,0.10,0.10,24500.90,128108.00,2483788.81,94.96,474825.00,-179025.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,23050.00,1549.45,1549.45,1549.45,1549.45,1549.45,24500.90,1.00,18.45,1.16,300.00,-75.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,CE,25800.00,1.00,2.15,0.05,0.10,0.05,24500.90,380555.00,7364031.18,291.93,3536775.00,-1118100.00,24500.90
