Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,29-May-2025,29-May-2025,CE,24300.00,499.95,603.50,360.00,517.65,534.70,24833.60,12609.00,234203.91,4404.89,515550.00,-54225.00,24833.60
NIFTY,29-May-2025,29-May-2025,CE,24450.00,402.00,457.65,213.00,358.95,383.30,24833.60,25217.00,468114.65,5697.91,70950.00,-12900.00,24833.60
NIFTY,29-May-2025,29-May-2025,CE,21550.00,-,-,-,3127.85,3127.85,24833.60,-,-,-,2100.00,-,24833.60
NIFTY,29-May-2025,29-May-2025,CE,25600.00,2.00,2.30,0.05,0.15,0.05,24833.60,1185802.00,22768438.88,1040.48,6760575.00,-92775.00,24833.60
NIFTY,29-May-2025,29-May-2025,CE,24400.00,447.95,507.65,261.90,410.05,433.45,24833.60,32963.00,612297.04,9074.14,477600.00,-100500.00,24833.60
NIFTY,29-May-2025,29-May-2025,CE,22500.00,2478.15,2478.15,2164.05,2333.50,2336.75,24833.60,2351.00,43728.48,4055.36,334650.00,-50175.00,24833.60
NIFTY,29-May-2025,29-May-2025,CE,21500.00,3372.60,3385.15,3212.30,3337.40,3339.55,24833.60,231.00,4292.38,567.50,25950.00,-11175.00,24833.60
NIFTY,29-May-2025,29-May-2025,CE,21850.00,3005.00,3005.00,3005.00,3005.00,3005.00,24833.60,1.00,18.64,2.25,3225.00,-75.00,24833.60
NIFTY,29-May-2025,29-May-2025,CE,21700.00,-,-,-,3186.60,3186.60,24833.60,-,-,-,6375.00,-,24833.60
NIFTY,29-May-2025,29-May-2025,CE,25700.00,1.05,1.80,0.05,0.15,0.05,24833.60,960547.00,18515308.04,764.62,4690350.00,-2737350.00,24833.60
NIFTY,29-May-2025,29-May-2025,CE,20650.00,-,-,-,4016.40,4019.55,24833.60,-,-,-,2175.00,-,24833.60
NIFTY,29-May-2025,29-May-2025,CE,25200.00,14.75,20.90,0.05,0.25,0.05,24833.60,3284469.00,62085358.57,8894.47,4595700.00,-1450275.00,24833.60
NIFTY,29-May-2025,29-May-2025,CE,25050.00,34.60,50.45,0.05,0.35,0.05,24833.60,3611430.00,67867281.16,17540.03,2905950.00,91050.00,24833.60
NIFTY,29-May-2025,29-May-2025,CE,24500.00,325.00,411.00,167.15,308.50,332.85,24833.60,276014.00,5125600.79,53843.54,2154450.00,-781350.00,24833.60
NIFTY,29-May-2025,29-May-2025,CE,21400.00,-,-,-,3400.00,3400.00,24833.60,-,-,-,4875.00,-,24833.60
NIFTY,29-May-2025,29-May-2025,CE,20850.00,-,-,-,3824.50,3835.25,24833.60,-,-,-,2025.00,-,24833.60
NIFTY,29-May-2025,29-May-2025,CE,20700.00,-,-,-,4215.70,4215.70,24833.60,-,-,-,1950.00,-,24833.60
