Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,31-Jul-2025,31-Jul-2025,CE,24000.00,700.05,973.00,631.10,770.50,769.85,24768.35,5152.00,95704.10,2968.10,649800.00,-66300.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,CE,25350.00,1.15,1.70,0.05,0.10,0.05,24768.35,1102053.00,20953416.96,634.30,2347350.00,-817650.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,CE,25100.00,3.85,6.60,0.05,0.15,0.05,24768.35,7365406.00,138668428.66,14660.71,6291225.00,-3177225.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,CE,27150.00,0.50,0.80,0.05,0.10,0.05,24768.35,11995.00,244252.35,4.16,84225.00,25425.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,CE,23500.00,1192.70,1466.00,1126.60,1271.10,1270.65,24768.35,1454.00,27023.96,1397.21,134850.00,-23100.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,CE,25300.00,1.20,1.80,0.05,0.15,0.05,24768.35,1850732.00,35118842.04,1202.34,4975425.00,-3182025.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,CE,23000.00,1699.25,1960.00,1639.45,1772.65,1770.00,24768.35,2030.00,37744.77,2727.27,188550.00,-94275.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,CE,26050.00,0.70,1.10,0.05,0.10,0.05,24768.35,71302.00,1393091.82,29.00,746025.00,-179400.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,CE,25550.00,1.00,1.35,0.05,0.10,0.05,24768.35,387034.00,7416726.17,187.15,1636425.00,-905925.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,CE,22750.00,-,-,-,2366.65,2366.65,24768.35,-,-,-,1125.00,-,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,CE,23850.00,862.90,1074.15,799.80,910.40,917.85,24768.35,110.00,2041.94,74.31,6750.00,6075.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,CE,24600.00,140.00,374.95,73.00,176.10,168.10,24768.35,1756949.00,32594744.64,179035.59,1071300.00,231825.00,24768.35
