Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Jan-2025,30-Jan-2025,CE,24500.00,0.35,0.50,0.05,0.05,0.05,23249.50,666225.00,4080661.94,33.81,3681575.00,-1437275.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,21450.00,1712.70,1803.35,1712.70,1793.00,1793.00,23249.50,10.00,58.04,4.42,600.00,-,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,21500.00,1670.00,1807.25,1617.85,1743.20,1747.15,23249.50,357.00,2071.74,152.86,17975.00,-6300.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,21400.00,1832.05,1874.05,1804.50,1804.50,1804.50,23249.50,7.00,40.65,3.20,450.00,-50.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,22750.00,413.15,561.75,373.50,489.20,499.70,23249.50,12529.00,72728.13,1469.44,388925.00,-24650.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,23300.00,49.00,107.10,0.10,0.70,0.15,23249.50,26917788.00,157007768.94,211653.84,8560675.00,3073175.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,24450.00,0.45,0.65,0.05,0.05,0.05,23249.50,209480.00,1280459.18,12.68,430875.00,149475.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,21150.00,-,-,-,3455.95,-,23249.50,-,-,-,-,-,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,21200.00,-,-,-,3408.45,-,23249.50,-,-,-,-,-,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,21250.00,2047.15,2047.15,1936.35,1988.00,1991.65,23249.50,18.00,104.63,9.01,375.00,-200.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,21300.00,1862.20,1976.60,1862.20,1965.00,1965.00,23249.50,10.00,58.07,4.82,100.00,100.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,21350.00,-,-,-,1790.00,1790.00,23249.50,-,-,-,150.00,-,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,22700.00,495.00,614.45,423.95,537.95,548.25,23249.50,24198.00,140448.64,3124.99,397200.00,-49400.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,23200.00,109.75,164.45,6.35,30.50,49.75,23249.50,24290828.00,141223223.79,336421.39,4981625.00,384700.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,23250.00,61.15,134.95,0.05,1.90,0.20,23249.50,34595547.00,201303896.27,217279.33,8787575.00,6884925.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,24400.00,0.50,0.60,0.05,0.05,0.05,23249.50,320959.00,1957870.16,20.26,951500.00,106000.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,24350.00,0.10,0.60,0.05,0.10,0.05,23249.50,272723.00,1660220.75,19.49,345450.00,-228000.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,21100.00,2170.35,2170.35,2170.35,2170.35,2170.35,23249.50,1.00,5.82,0.55,50.00,25.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,22650.00,503.95,660.60,473.35,586.90,600.45,23249.50,2887.00,16763.47,415.83,163925.00,-20125.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,22600.00,532.75,710.00,524.00,640.50,648.90,23249.50,7383.00,42855.72,1141.77,167950.00,-7525.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,23150.00,104.45,200.55,17.40,73.50,99.40,23249.50,9767102.00,56724978.21,197875.39,1906425.00,-875975.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,26150.00,0.30,0.40,0.05,0.10,0.10,23249.50,5533.00,36172.31,0.32,101975.00,-2000.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,24250.00,1.00,1.05,0.05,0.10,0.05,23249.50,269846.00,1635962.71,21.34,760175.00,123000.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,24300.00,0.65,0.70,0.05,0.10,0.05,23249.50,411903.00,2502339.93,29.21,1684225.00,-178300.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,26050.00,0.25,0.65,0.05,0.15,0.05,23249.50,7123.00,46388.95,0.41,58825.00,-9825.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,26300.00,0.30,0.65,0.05,0.10,0.05,23249.50,27405.00,180189.20,1.32,267475.00,3050.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,26350.00,0.30,0.75,0.05,0.10,0.05,23249.50,30898.00,203542.02,1.45,112075.00,-99950.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,26100.00,0.35,0.40,0.05,0.05,0.05,23249.50,14874.00,97053.50,0.65,338900.00,-26250.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,CE,25900.00,0.40,0.40,0.05,0.05,0.05,23249.50,14337.00,92832.82,0.74,257225.00,-5150.00,23249.50
