Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,24-Oct-2025,25-Nov-2025,CE,27600.00,19.00,20.25,14.50,15.20,15.00,15.20,4697.00,97287.23,59.33,166275.00,105675.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,23800.00,2132.00,2132.00,2132.00,2132.00,2132.00,2132.00,1.00,19.45,1.60,1125.00,75.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,24100.00,1920.00,1953.05,1817.65,1840.00,1840.00,1824.75,5.00,97.47,7.09,1350.00,225.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,24850.00,1168.95,1168.95,1166.75,1167.85,1166.75,1167.85,2.00,39.03,1.75,1650.00,-150.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,27400.00,27.50,30.00,19.95,20.90,22.00,20.90,4940.00,101603.74,86.74,252975.00,36225.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,26800.00,89.60,92.65,59.25,65.05,65.00,65.05,16006.00,322579.20,858.60,725100.00,41400.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,23650.00,2388.40,2388.40,2388.40,2388.40,2388.40,2266.00,1.00,19.53,1.79,75.00,-75.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,24900.00,1235.30,1255.00,1055.00,1111.00,1101.90,1111.00,68.00,1328.19,58.29,60975.00,-1350.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,27650.00,-,-,-,83.15,-,16.40,-,-,-,-,-,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,23550.00,-,-,-,2351.85,2351.85,2364.90,-,-,-,75.00,-,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,24600.00,1538.35,1538.35,1325.00,1366.65,1366.65,1351.65,54.00,1054.39,58.09,38100.00,-1425.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,27000.00,57.35,62.00,40.05,43.75,43.60,43.75,61902.00,1255770.51,2255.01,2098725.00,-12825.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,26950.00,57.00,63.75,44.15,47.65,47.45,47.65,737.00,14924.77,28.16,19350.00,10875.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,24700.00,1431.40,1431.40,1232.00,1311.55,1293.15,1311.55,121.00,2361.76,120.24,53625.00,2400.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,25200.00,1009.00,1009.00,803.55,857.75,856.75,857.75,797.00,15600.70,537.40,377925.00,14850.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,26050.00,364.95,380.95,257.05,284.05,290.20,284.05,893.00,17659.85,212.86,45375.00,5100.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,24000.00,2096.05,2122.70,1888.05,1953.80,1954.05,1953.80,2551.00,49716.54,3798.54,315225.00,162600.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,CE,26500.00,175.05,179.90,112.45,124.60,124.15,124.60,46209.00,923208.96,4805.09,1919550.00,56850.00,25795.15
