Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,26-Jun-2025,26-Jun-2025,PE,20750.00,0.50,0.75,0.05,0.10,0.10,25549.00,32281.00,502381.25,8.19,119850.00,95700.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,17000.00,0.40,0.70,0.05,0.15,0.05,25549.00,190884.00,2433808.64,37.64,356700.00,-37425.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,23950.00,1.00,1.30,0.05,0.10,0.05,25549.00,224091.00,4025349.45,114.86,449925.00,-286200.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,25300.00,89.00,90.00,0.10,0.45,0.15,25549.00,10849680.00,206120627.43,247949.43,7169325.00,1456800.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,21700.00,0.55,0.85,0.05,0.10,0.05,25549.00,35255.00,573785.82,10.69,71025.00,-17625.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,26300.00,941.65,1012.35,747.30,752.30,750.35,25549.00,132.00,2690.53,86.83,3675.00,150.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,23350.00,1.05,3.70,0.05,0.15,0.10,25549.00,70012.00,1226116.32,31.17,165825.00,-15075.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,26400.00,1060.55,1092.65,846.50,850.65,846.50,25549.00,145.00,2978.22,107.22,2850.00,-1050.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,26150.00,706.80,863.70,597.65,602.05,597.65,25549.00,64.00,1289.92,34.72,2325.00,-675.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,25750.00,468.35,468.35,191.00,202.35,200.30,25549.00,40363.00,786996.62,7486.18,78975.00,63975.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,25150.00,30.35,33.95,0.05,0.35,0.10,25549.00,4012488.00,75715181.63,29626.73,2985075.00,-3206550.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,22000.00,0.65,0.85,0.05,0.10,0.05,25549.00,157890.00,2605237.86,52.86,1993450.00,-1090150.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,22300.00,1.00,1.00,0.05,0.10,0.05,25549.00,46191.00,772560.27,15.79,132975.00,-48900.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,23300.00,0.75,1.10,0.05,0.15,0.05,25549.00,72155.00,1260940.37,31.75,471375.00,-138900.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,22950.00,0.80,1.00,0.05,0.15,0.10,25549.00,30953.00,532791.85,13.34,180675.00,51525.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,23150.00,0.80,1.05,0.05,0.15,0.20,25549.00,45228.00,785288.57,17.42,184350.00,80175.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,26350.00,909.75,1032.25,812.30,812.35,812.35,25549.00,32.00,655.15,22.75,2175.00,-150.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,25550.00,282.90,286.85,0.50,4.85,1.00,25549.00,7278007.00,139587709.83,122900.69,11344575.00,11299200.00,25549.00
NIFTY,26-Jun-2025,26-Jun-2025,PE,23100.00,0.55,0.95,0.05,0.15,0.25,25549.00,56103.00,972007.37,22.89,267000.00,-177600.00,25549.00
