Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,24-Oct-2025,28-Oct-2025,PE,26950.00,1096.45,1105.25,1083.15,1083.15,1083.15,1137.90,6.00,126.20,4.92,975.00,-,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,22700.00,1.20,1.45,0.75,1.10,1.15,1.10,63340.00,1078413.05,49.55,1350675.00,225450.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,26050.00,135.00,339.75,133.15,263.55,261.25,263.55,381765.00,7515526.68,56792.99,745275.00,-556800.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,23500.00,1.25,1.75,1.05,1.25,1.30,1.25,161520.00,2846947.88,157.88,2654775.00,-108150.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,26250.00,284.95,526.10,273.20,446.55,445.15,446.55,18085.00,361131.99,5083.55,93225.00,-84600.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,26300.00,315.00,576.70,315.00,495.15,490.35,495.15,39998.00,801587.34,12626.79,570975.00,-149475.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,25400.00,10.25,20.00,6.25,8.85,8.20,8.85,1343135.00,25597997.52,11275.77,6863100.00,957300.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,23450.00,1.20,1.75,1.00,1.15,1.10,1.15,45979.00,808701.55,45.89,249825.00,33000.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,23350.00,1.55,1.90,0.85,1.10,1.10,1.10,4514.00,79055.86,4.43,40350.00,1125.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,24000.00,1.60,2.35,1.30,1.60,1.35,1.60,355621.00,6401637.28,459.28,5807025.00,102000.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,25450.00,10.00,25.25,7.35,11.20,10.05,11.20,1037232.00,19809063.33,10897.53,2594025.00,967650.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,25100.00,4.25,7.00,3.65,4.25,4.40,4.25,707274.00,13317131.65,2698.60,3709050.00,-121950.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,25050.00,5.80,6.50,3.40,4.00,4.05,4.00,315207.00,5923077.94,1126.43,837750.00,-12000.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,25250.00,7.80,10.30,3.60,5.40,5.60,5.40,482239.00,9134849.29,2448.23,1777275.00,270450.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,25500.00,9.80,32.20,9.80,14.25,12.60,14.25,2915816.00,55803414.47,38433.47,12801225.00,2481900.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,25550.00,19.50,41.85,11.70,19.65,17.20,19.65,1634518.00,31349930.54,28479.37,3024375.00,1456125.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,25700.00,29.70,90.00,23.35,49.85,44.70,49.85,5859914.00,113177232.83,227390.48,9751650.00,2859000.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,24800.00,3.55,4.70,2.60,3.05,2.80,3.05,504469.00,9384402.79,1279.39,6468750.00,661275.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,24350.00,2.10,3.10,1.35,1.80,1.50,1.80,105121.00,1919946.87,174.61,234450.00,30600.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,27600.00,-,-,-,1456.00,1456.00,1787.45,-,-,-,75.00,-,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,27300.00,-,-,-,1390.00,1390.00,1487.65,-,-,-,900.00,-,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,26600.00,623.90,860.45,610.55,779.55,765.85,779.55,1042.00,21381.75,593.85,170025.00,-10950.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,23400.00,1.40,2.25,1.10,1.35,1.30,1.35,43524.00,763891.47,45.27,239550.00,-75075.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,24700.00,3.00,4.20,2.35,2.80,2.60,2.80,490678.00,9090892.98,1083.03,4257000.00,493950.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,25750.00,42.00,114.50,30.40,67.80,62.40,67.80,5002620.00,96868363.03,255264.28,5184975.00,2400000.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,26650.00,649.35,904.15,649.15,843.50,838.35,843.50,251.00,5166.93,150.07,5325.00,-900.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,27000.00,1025.95,1263.40,1011.20,1189.80,1187.35,1189.80,4008.00,84564.59,3402.59,548850.00,-134325.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,23100.00,1.15,1.70,0.90,1.35,1.30,1.35,61497.00,1065494.32,58.80,727800.00,530550.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,27050.00,-,-,-,969.95,969.95,1237.85,-,-,-,225.00,-,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,23850.00,3.00,3.00,1.05,1.40,1.10,1.40,35656.00,637840.95,44.25,96000.00,-11475.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,26200.00,241.00,481.60,234.50,399.35,395.15,399.35,149657.00,2977739.21,36979.16,979875.00,-770175.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,27100.00,1183.10,1350.00,1183.10,1265.60,1265.60,1265.60,63.00,1342.26,61.78,5100.00,-1725.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,25000.00,4.85,6.20,3.05,3.60,3.40,3.60,1124959.00,21096732.69,3751.44,10854900.00,-4420950.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,22850.00,1.15,1.50,0.75,1.05,0.75,1.05,2643.00,45296.39,1.98,24150.00,3750.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,24850.00,3.85,5.05,1.85,3.15,2.95,3.15,210712.00,3927713.50,568.60,1063875.00,155475.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,24750.00,3.70,4.50,2.10,2.85,2.55,2.85,210760.00,3912717.78,485.28,720075.00,-56700.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,24250.00,1.95,2.80,1.35,1.75,1.60,1.75,70931.00,1290164.32,106.76,140325.00,-110700.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,27550.00,-,-,-,1450.00,1450.00,1737.50,-,-,-,-,-,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,24650.00,3.00,4.05,1.95,2.40,2.40,2.40,182005.00,3365192.90,375.46,638325.00,-73125.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,24950.00,4.15,5.80,2.80,3.40,3.20,3.40,196610.00,3679671.56,606.93,769500.00,-41550.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,26350.00,371.90,625.70,364.45,541.25,544.55,541.25,4092.00,82374.96,1506.81,41775.00,-29175.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,25950.00,90.90,252.50,82.95,185.25,177.35,185.25,1822796.00,35663763.88,187596.73,1359825.00,-959250.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,27150.00,-,-,-,998.30,998.30,1337.75,-,-,-,3825.00,-,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,24500.00,2.55,3.40,1.65,2.05,1.75,2.05,589203.00,10827720.32,1115.19,8808750.00,646800.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,23550.00,1.30,1.95,1.15,1.35,1.20,1.35,36675.00,647812.87,40.68,130200.00,16725.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,23050.00,1.20,1.70,0.90,1.10,1.10,1.10,16484.00,284981.80,14.65,66375.00,-,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,26550.00,587.75,804.05,564.55,739.55,739.35,739.55,463.00,9453.67,234.18,7950.00,-1275.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,26700.00,751.20,952.90,732.65,885.75,890.55,885.75,232.00,4794.25,148.45,20400.00,-1425.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,26000.00,101.10,295.00,101.10,223.30,217.00,223.30,2107749.00,41368986.14,267880.64,4002000.00,-2881650.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,25800.00,52.20,142.75,39.05,88.80,84.25,88.80,9124604.00,177104877.41,543790.01,7307625.00,858600.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,24200.00,2.05,2.70,1.35,1.60,1.45,1.60,147072.00,2669572.38,215.58,1104075.00,-37500.00,25795.15
NIFTY,24-Oct-2025,28-Oct-2025,PE,23800.00,1.50,2.20,1.05,1.30,1.10,1.30,66476.00,1186673.61,77.01,752100.00,-114825.00,25795.15
