Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,27-Feb-2025,27-Feb-2025,PE,26000.00,3418.40,3473.95,3404.65,3453.70,3459.20,22545.05,3064.00,67675.00,7927.00,170325.00,-139800.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,24250.00,1669.00,1710.05,1669.00,1704.50,1704.50,22545.05,35.00,681.10,44.54,4575.00,-2100.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,23500.00,920.80,971.95,897.50,952.50,956.00,22545.05,13795.00,252940.56,9803.68,2569725.00,-295725.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,25200.00,2605.00,2673.90,2605.00,2659.40,2672.20,22545.05,226.00,4721.58,450.18,9450.00,-10500.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,23550.00,970.40,1020.00,951.15,1004.55,1007.75,22545.05,619.00,11397.77,464.68,87150.00,-3450.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,25250.00,2655.35,2711.40,2655.35,2711.40,2711.40,22545.05,3.00,62.87,6.06,900.00,-75.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,25850.00,-,-,-,2812.65,2813.80,22545.05,-,-,-,225.00,-,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,24300.00,1700.05,1774.20,1699.95,1753.15,1757.75,22545.05,743.00,14518.58,977.40,23775.00,-32175.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,25300.00,2720.00,2763.35,2720.00,2755.45,2758.00,22545.05,24.00,504.92,49.52,2550.00,-1575.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,26050.00,-,-,-,3013.70,3012.45,22545.05,-,-,-,150.00,-,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,24350.00,1759.65,1807.55,1759.65,1800.00,1800.00,22545.05,28.00,549.16,37.81,5100.00,-1575.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,23600.00,1009.00,1069.65,995.70,1051.85,1057.60,22545.05,5334.00,98596.81,4185.01,585375.00,-240450.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,25350.00,-,-,-,2320.85,2321.45,22545.05,-,-,-,150.00,-,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,25700.00,3120.00,3171.25,3120.00,3158.00,3160.00,22545.05,82.00,1774.63,194.08,4425.00,-5025.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,24400.00,1826.15,1868.60,1800.00,1851.80,1859.95,22545.05,517.00,10179.71,718.61,46050.00,-15825.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,23650.00,1056.30,1115.15,1052.80,1103.60,1108.15,22545.05,301.00,5585.39,246.40,53475.00,-9300.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,25400.00,2835.45,2860.00,2835.45,2852.00,2852.00,22545.05,61.00,1292.60,130.55,4875.00,-2775.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,23800.00,1210.05,1268.65,1198.00,1254.90,1258.20,22545.05,2289.00,43003.89,2145.24,574275.00,-120300.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,24450.00,1961.95,1961.95,1896.25,1898.05,1898.05,22545.05,58.00,1147.78,84.20,1425.00,-2550.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,23700.00,1121.20,1168.10,1095.80,1153.25,1157.65,22545.05,5220.00,97243.60,4458.10,448350.00,-271050.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,21900.00,0.85,1.45,0.05,0.10,0.05,22545.05,702776.00,11543337.43,241.63,2296725.00,-897225.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,22800.00,223.00,271.40,199.00,251.20,254.40,22545.05,132149.00,2283910.26,24162.36,1338750.00,-904050.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,22200.00,3.90,4.00,0.05,0.10,0.05,22545.05,925595.00,15411918.25,761.50,3435825.00,176550.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,22850.00,273.40,320.80,248.15,301.00,305.25,22545.05,25519.00,442887.32,5555.46,370650.00,-185025.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,20800.00,0.30,0.90,0.05,0.15,0.05,22545.05,190955.00,2978920.89,22.89,825675.00,-166725.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,20850.00,0.40,0.45,0.05,0.10,0.05,22545.05,16463.00,257442.17,2.01,163275.00,90150.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,21950.00,1.95,1.95,0.05,0.10,0.05,22545.05,320494.00,5276260.40,127.93,695025.00,-563025.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,22900.00,314.60,371.00,297.70,351.20,355.10,22545.05,36409.00,634694.94,9370.36,853425.00,-541650.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,20900.00,0.40,0.80,0.05,0.10,0.05,22545.05,13402.00,210078.37,2.02,162150.00,76875.00,22545.05
NIFTY,27-Feb-2025,27-Feb-2025,PE,20950.00,0.40,2.90,0.05,0.10,0.05,22545.05,14588.00,229215.97,2.02,92700.00,48375.00,22545.05
