Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Apr-2025,30-Apr-2025,PE,25300.00,1009.85,1012.35,939.05,966.60,967.00,24334.20,69.00,1359.71,50.44,2925.00,225.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23100.00,1.55,1.60,0.05,0.10,0.10,24334.20,443753.00,7688271.22,250.50,3385725.00,862500.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23150.00,1.75,1.80,0.05,0.10,0.05,24334.20,225215.00,3910423.19,127.75,513600.00,-185250.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21750.00,0.75,0.85,0.05,0.10,0.10,24334.20,36311.00,592331.39,8.20,94875.00,-34500.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24600.00,285.10,345.00,207.15,238.50,265.35,24334.20,117526.00,2191206.69,22851.99,213525.00,-86025.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24650.00,384.50,394.95,258.00,292.45,315.45,24334.20,14878.00,278470.14,3413.11,76050.00,34350.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25950.00,-,-,-,2561.40,-,24334.20,-,-,-,-,-,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,26000.00,1694.00,1694.00,1620.00,1667.80,1666.80,24334.20,93.00,1929.51,116.01,3450.00,-3900.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,26050.00,-,-,-,2658.50,-,24334.20,-,-,-,-,-,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,26100.00,1754.80,1754.80,1713.00,1713.00,1713.00,24334.20,2.00,41.75,2.60,300.00,75.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23200.00,1.90,1.90,0.05,0.10,0.05,24334.20,411810.00,7165737.67,243.67,2496600.00,-368025.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21800.00,0.80,0.95,0.05,0.10,0.05,24334.20,60183.00,984004.63,12.58,554925.00,-257400.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21850.00,0.90,0.95,0.05,0.05,0.05,24334.20,33514.00,549217.65,6.97,95550.00,27075.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24700.00,435.20,442.80,307.75,342.85,365.65,24334.20,19094.00,358839.56,5123.21,89700.00,525.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23250.00,1.55,2.10,0.05,0.10,0.05,24334.20,297662.00,5190671.13,190.00,1270725.00,477825.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21900.00,0.90,0.90,0.05,0.10,0.05,24334.20,47893.00,786656.43,13.90,340725.00,-222675.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24750.00,443.00,490.00,358.90,401.95,415.75,24334.20,3144.00,59320.65,960.15,36975.00,5925.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24800.00,492.45,540.30,408.85,448.90,465.60,24334.20,7445.00,141041.03,2564.03,60450.00,-42525.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25350.00,1001.35,1001.35,992.45,1000.95,1000.95,24334.20,12.00,237.15,9.00,300.00,-525.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25400.00,1090.00,1090.00,1027.15,1032.00,1032.00,24334.20,74.00,1467.78,58.08,975.00,-4425.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25450.00,-,-,-,1163.95,1163.95,24334.20,-,-,-,825.00,-,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23300.00,1.90,1.95,0.05,0.10,0.05,24334.20,569864.00,9958750.35,376.95,2767350.00,-37875.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23350.00,2.90,2.90,0.05,0.10,0.05,24334.20,353830.00,6196678.43,230.56,1119675.00,461025.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21950.00,0.80,0.85,0.05,0.10,0.10,24334.20,48808.00,803510.99,9.29,68550.00,-19950.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22000.00,0.75,0.90,0.05,0.05,0.05,24334.20,237807.00,3923881.85,66.35,2468175.00,-2516775.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24850.00,570.00,571.90,458.00,501.95,515.55,24334.20,965.00,18349.81,364.62,17925.00,5475.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22250.00,1.00,1.00,0.05,0.10,0.10,24334.20,32507.00,542470.80,10.24,175875.00,-175725.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22300.00,0.95,0.95,0.05,0.05,0.05,24334.20,79792.00,1334545.04,23.84,592200.00,-729750.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23400.00,1.70,1.90,0.05,0.10,0.05,24334.20,634402.00,11134217.01,461.91,3336150.00,1338300.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22050.00,0.55,0.70,0.05,0.10,0.05,24334.20,26712.00,441756.14,6.44,91275.00,-11325.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,20800.00,0.90,0.90,0.05,0.10,0.05,24334.20,76562.00,1194384.02,16.82,311100.00,-776475.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,20850.00,1.40,1.40,0.05,0.10,0.05,24334.20,14538.00,227340.52,2.54,318900.00,280800.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,20900.00,0.70,0.70,0.05,0.10,0.05,24334.20,29646.00,464707.99,6.94,753375.00,-173250.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21050.00,0.95,1.00,0.05,0.10,0.05,24334.20,15137.00,238977.92,2.53,53850.00,3150.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21100.00,0.70,0.75,0.05,0.10,0.05,24334.20,39824.00,630221.88,7.08,253275.00,3450.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21150.00,0.70,0.80,0.05,0.10,0.10,24334.20,37283.00,591409.30,7.71,289350.00,208200.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,20400.00,0.40,0.60,0.05,0.05,0.05,24334.20,512787.00,7845720.89,79.79,4113975.00,37650.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,20450.00,0.40,0.50,0.05,0.10,0.05,24334.20,263422.00,4040272.36,37.44,935550.00,-435075.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,20500.00,0.65,0.65,0.05,0.10,0.05,24334.20,202221.00,3109179.72,31.84,1221975.00,-939225.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,20950.00,0.65,0.65,0.05,0.05,0.10,24334.20,11591.00,182126.19,2.60,160950.00,86925.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21000.00,0.50,0.50,0.05,0.05,0.05,24334.20,232521.00,3662257.27,51.52,1778550.00,-2338650.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,20550.00,0.50,0.55,0.05,0.10,0.05,24334.20,21430.00,330293.59,3.72,298125.00,176550.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,20600.00,0.45,0.70,0.05,0.10,0.05,24334.20,104577.00,1615735.66,21.01,394875.00,-745350.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21200.00,0.90,0.90,0.05,0.10,0.05,24334.20,30639.00,487166.43,6.33,193200.00,-18300.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21250.00,0.65,0.65,0.05,0.10,0.05,24334.20,24305.00,387365.62,4.68,54525.00,-26100.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,20650.00,0.60,0.65,0.05,0.05,0.05,24334.20,30344.00,469957.12,4.42,181500.00,134100.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,20700.00,0.35,0.70,0.05,0.10,0.05,24334.20,117351.00,1821897.68,23.41,309150.00,-781200.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,20750.00,0.60,0.75,0.05,0.10,0.05,24334.20,18481.00,287614.17,3.61,223950.00,177150.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21300.00,0.75,0.75,0.05,0.10,0.05,24334.20,33494.00,535073.86,7.21,113325.00,-47100.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21350.00,0.55,0.70,0.05,0.05,0.05,24334.20,19880.00,318332.57,4.07,177225.00,84225.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21400.00,1.05,1.05,0.05,0.10,0.15,24334.20,42516.00,682391.45,9.65,96300.00,-252525.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22100.00,0.85,0.85,0.05,0.10,0.05,24334.20,73028.00,1210459.18,20.08,224100.00,-396150.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22150.00,1.00,1.00,0.05,0.10,0.10,24334.20,31667.00,526076.14,8.10,85275.00,-95475.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24900.00,632.95,637.05,508.75,558.95,567.00,24334.20,1016.00,19400.20,426.40,16500.00,2250.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24950.00,632.05,648.05,566.00,616.25,615.55,24334.20,219.00,4197.45,99.41,9300.00,6300.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22350.00,1.10,1.15,0.05,0.10,0.10,24334.20,74134.00,1242691.35,20.18,181575.00,-174225.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23450.00,3.80,3.80,0.05,0.15,0.10,24334.20,410419.00,7218535.20,291.04,897825.00,122400.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22200.00,0.85,0.85,0.05,0.10,0.05,24334.20,59651.00,993207.64,18.49,578025.00,-383775.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25000.00,733.00,740.00,606.25,641.95,665.45,24334.20,4603.00,88583.89,2277.64,96600.00,-90975.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22400.00,0.90,1.50,0.05,0.10,0.05,24334.20,67041.00,1126310.41,21.61,294000.00,-438075.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23500.00,2.45,2.45,0.05,0.10,0.05,24334.20,1521085.00,26810250.19,1127.07,8250825.00,2393925.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23550.00,3.00,3.05,0.05,0.15,0.05,24334.20,614958.00,10862199.56,503.88,1445400.00,843075.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23900.00,4.70,6.20,0.05,0.15,0.10,24334.20,1651357.00,29602764.44,2190.22,5764200.00,1409325.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23950.00,8.00,8.00,0.05,0.15,0.05,24334.20,1200626.00,21568012.84,1768.32,2873925.00,727950.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25050.00,697.20,741.15,668.50,717.00,716.70,24334.20,117.00,2260.80,62.66,7200.00,6675.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25100.00,748.35,794.05,721.95,764.15,765.45,24334.20,256.00,4964.30,145.10,7875.00,-3825.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22450.00,1.20,1.20,0.05,0.10,0.05,24334.20,48150.00,810739.63,14.01,141750.00,-190500.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22500.00,0.95,0.95,0.05,0.10,0.05,24334.20,339970.00,5737101.98,108.23,1919850.00,-3165900.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23600.00,2.80,3.40,0.05,0.10,0.05,24334.20,1379608.00,24420242.67,1181.07,5677950.00,3318000.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24000.00,6.80,9.70,0.05,0.20,0.05,24334.20,2811573.00,50613318.23,5004.23,6686700.00,-4315425.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25150.00,830.00,846.80,795.10,799.75,799.75,24334.20,11.00,214.32,6.83,675.00,-75.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22550.00,0.90,0.90,0.05,0.10,0.05,24334.20,53872.00,911126.45,16.25,226575.00,2775.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23650.00,5.00,5.00,0.05,0.10,0.05,24334.20,852248.00,15117470.90,722.00,2582400.00,1437150.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24050.00,17.00,17.00,0.05,0.20,0.10,24334.20,1674901.00,30214244.76,3217.97,2014200.00,-115575.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22600.00,0.85,0.90,0.05,0.10,0.05,24334.20,114953.00,1948492.85,39.50,524250.00,-517500.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22650.00,0.95,1.00,0.05,0.10,0.05,24334.20,86132.00,1463196.58,29.23,200775.00,-143775.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23700.00,4.20,4.20,0.05,0.15,0.05,24334.20,1167459.00,20752739.05,1155.33,5402400.00,2043225.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23750.00,6.50,6.50,0.05,0.15,0.10,24334.20,891128.00,15874139.07,921.57,2454525.00,1423350.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24100.00,14.40,16.55,0.05,0.20,0.05,24334.20,2971782.00,53721764.90,6805.25,4359900.00,-2244600.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24150.00,14.95,21.00,0.05,0.25,0.05,24334.20,2865315.00,51906011.17,7993.23,3127425.00,272250.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22700.00,1.30,1.30,0.05,0.10,0.05,24334.20,206817.00,3521137.60,78.17,1072500.00,-1747425.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23800.00,5.00,5.00,0.05,0.15,0.10,24334.20,1882989.00,33613562.58,2208.93,5428275.00,598800.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24200.00,20.00,29.40,0.05,0.25,0.10,24334.20,5623362.00,102087237.60,23217.30,6893100.00,-2265225.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25500.00,1230.00,1230.00,1120.45,1144.65,1167.15,24334.20,551.00,11015.50,477.63,25200.00,-28125.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25550.00,1177.30,1177.30,1177.30,1177.30,1177.30,24334.20,2.00,40.09,1.77,750.00,-,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25600.00,1240.00,1240.00,1225.10,1225.10,1225.10,24334.20,3.00,60.37,2.77,825.00,-,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25650.00,-,-,-,1321.75,1321.75,24334.20,-,-,-,150.00,-,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22750.00,1.80,1.80,0.05,0.10,0.05,24334.20,87741.00,1497114.11,33.30,243975.00,8250.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22800.00,1.40,1.40,0.05,0.10,0.10,24334.20,240576.00,4113948.56,98.96,1400925.00,-1321575.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,23850.00,3.40,5.10,0.05,0.15,0.05,24334.20,2198335.00,39324850.41,2133.10,2747925.00,1093275.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24250.00,25.00,43.55,0.10,0.30,0.15,24334.20,7585992.00,138016553.45,46323.95,5812875.00,1274775.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24300.00,37.90,69.00,0.05,0.40,0.05,24334.20,21573801.00,393372980.34,190457.11,19689675.00,8098425.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22850.00,1.00,1.20,0.05,0.10,0.05,24334.20,108523.00,1859857.35,44.44,622275.00,-48000.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21450.00,0.70,0.85,0.05,0.10,0.05,24334.20,13397.00,215527.21,2.97,383550.00,306300.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24350.00,69.00,107.00,0.30,2.70,15.85,24334.20,30757575.00,562048975.04,338761.60,19718400.00,15133725.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25200.00,911.65,911.65,811.00,823.65,865.45,24334.20,166.00,3244.93,107.53,3075.00,-6300.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25250.00,893.00,893.00,893.00,893.00,893.00,24334.20,1.00,19.61,0.67,975.00,-75.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,22900.00,1.70,1.70,0.05,0.10,0.05,24334.20,199991.00,3434935.78,90.36,1317375.00,-281925.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21500.00,0.60,0.65,0.05,0.05,0.10,24334.20,95942.00,1547089.16,24.41,1627800.00,-1486725.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,21550.00,0.95,1.10,0.05,0.10,0.05,24334.20,8660.00,139969.47,2.22,102675.00,23475.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,24400.00,120.00,152.00,12.00,32.10,65.80,24334.20,9652104.00,177025715.69,392212.49,6187500.00,2939550.00,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25700.00,-,-,-,1345.00,1345.00,24334.20,-,-,-,-,-,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25750.00,-,-,-,1397.45,1397.95,24334.20,-,-,-,600.00,-,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25800.00,-,-,-,2416.50,-,24334.20,-,-,-,-,-,24334.20
NIFTY,30-Apr-2025,30-Apr-2025,PE,25850.00,1513.35,1513.35,1475.70,1475.70,1475.70,24334.20,2.00,41.02,2.25,675.00,75.00,24334.20
