Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,27-Mar-2025,27-Mar-2025,PE,23550.00,120.00,125.00,0.10,0.80,0.30,23591.95,10540283.00,186278782.93,111034.44,7695900.00,5524650.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,23050.00,5.30,6.10,0.05,0.20,0.10,23591.95,933487.00,16139797.02,2140.51,1632900.00,-361950.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,23500.00,87.00,94.45,0.05,0.55,0.10,23591.95,8331401.00,146946879.39,105936.76,8844975.00,1744125.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,23700.00,270.00,270.00,75.70,105.30,107.95,23591.95,1680048.00,29999669.52,136816.32,2979450.00,-1079100.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,24050.00,584.15,587.65,416.00,455.95,458.05,23591.95,674.00,12391.47,234.19,28125.00,-4650.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,22950.00,3.95,4.80,0.05,0.15,0.05,23591.95,696075.00,11982507.08,1316.14,1197000.00,-1068675.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,23650.00,165.00,218.30,37.00,54.85,58.10,23591.95,3913324.00,69582582.03,169997.58,2493975.00,479550.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,24100.00,620.00,645.50,458.85,507.00,507.45,23591.95,1752.00,32357.50,690.10,39975.00,-31275.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,21500.00,0.75,2.65,0.05,0.15,0.10,23591.95,325201.00,5244133.24,267.12,2803800.00,-314400.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,20400.00,0.35,1.40,0.05,0.15,0.05,23591.95,115788.00,1771617.97,61.57,808875.00,-243675.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,20450.00,0.25,1.75,0.05,0.15,0.05,23591.95,46792.00,717700.52,28.22,248700.00,144600.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,20350.00,0.30,1.50,0.05,0.15,0.05,23591.95,101176.00,1544253.03,54.33,495525.00,-91275.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,22200.00,1.00,3.10,0.05,0.10,0.05,23591.95,274529.00,4571184.28,276.43,1520475.00,-918075.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,20700.00,0.55,2.10,0.05,0.15,0.10,23591.95,121233.00,1882231.67,89.34,1034100.00,-20550.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,20750.00,0.40,2.05,0.05,0.15,0.05,23591.95,38763.00,603277.81,28.62,161550.00,64125.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,21450.00,0.50,2.50,0.05,0.20,0.05,23591.95,66756.00,1073995.18,58.03,173775.00,-65400.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,20000.00,0.30,1.00,0.05,0.15,0.05,23591.95,367393.00,5511031.98,136.98,2810725.00,-1684325.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,22500.00,1.10,3.45,0.05,0.10,0.05,23591.95,1375790.00,23217940.74,1484.49,8044200.00,-2593200.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,21400.00,0.90,2.35,0.05,0.15,0.05,23591.95,88337.00,1417874.68,65.83,410700.00,-173925.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,19000.00,0.25,0.80,0.05,0.15,0.05,23591.95,279235.00,3979179.54,80.79,1319475.00,472925.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,22150.00,1.05,3.05,0.05,0.10,0.05,23591.95,149071.00,2476594.85,152.86,271050.00,-158400.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,22650.00,1.05,3.85,0.05,0.10,0.05,23591.95,425126.00,7222398.70,570.77,516900.00,-793650.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,18000.00,0.20,0.60,0.05,0.10,0.05,23591.95,1035159.00,13974870.93,224.43,1580775.00,176900.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,22400.00,1.00,3.30,0.05,0.10,0.05,23591.95,448232.00,7530816.35,518.75,1730175.00,-510225.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,21350.00,0.65,2.60,0.05,0.15,0.10,23591.95,61497.00,984773.41,52.70,193350.00,47850.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,22100.00,0.85,2.95,0.05,0.10,0.05,23591.95,183110.00,3035225.41,177.16,759075.00,-254250.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,21300.00,0.50,2.10,0.05,0.15,0.05,23591.95,164533.00,2628518.22,103.55,866625.00,-274425.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,22050.00,0.95,2.85,0.05,0.10,0.05,23591.95,115267.00,1906342.78,114.77,150375.00,-93300.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,22600.00,2.00,3.70,0.05,0.10,0.05,23591.95,1088711.00,18455038.12,1386.67,4200450.00,-2620500.00,23591.95
NIFTY,27-Mar-2025,27-Mar-2025,PE,21200.00,0.50,2.05,0.05,0.15,0.05,23591.95,129992.00,2066954.59,81.79,399750.00,-190800.00,23591.95
