Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Sep-2025,30-Sep-2025,PE,23100.00,0.80,1.30,0.05,0.10,0.05,24611.10,73367.00,1271127.36,44.09,571425.00,-268275.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,24200.00,1.60,2.00,0.05,0.15,0.05,24611.10,1887108.00,34252516.10,1505.90,5829675.00,-718500.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,24500.00,5.45,19.00,0.05,0.25,0.05,24611.10,12435875.00,228560275.87,51072.75,8522775.00,-2562000.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,27250.00,-,-,-,2280.00,2280.00,24611.10,-,-,-,675.00,-,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,24100.00,1.50,1.90,0.05,0.15,0.05,24611.10,1197205.00,21640331.54,851.16,2263125.00,-800400.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,23750.00,1.70,1.70,0.05,0.10,0.05,24611.10,190913.00,3400760.36,122.55,1281150.00,-26700.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,25250.00,535.70,675.80,505.25,636.85,637.90,24611.10,2994.00,58044.99,1346.12,247050.00,-112875.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,25650.00,924.80,1066.90,908.85,1036.05,1040.75,24611.10,205.00,4097.22,153.53,15975.00,-1425.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,23300.00,0.80,1.45,0.05,0.10,0.05,24611.10,75997.00,1328094.67,47.09,469800.00,-111525.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,30000.00,5284.65,5400.00,5249.65,5394.50,5398.00,24611.10,221.00,5851.29,878.79,11100.00,-7425.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,28000.00,3288.40,3415.00,3257.65,3394.45,3394.40,24611.10,1575.00,37018.62,3943.62,81075.00,-52950.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,23650.00,1.85,1.85,0.05,0.10,0.05,24611.10,176617.00,3132854.36,110.32,844200.00,155325.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,26100.00,1380.10,1500.00,1359.70,1491.00,1491.25,24611.10,490.00,10117.54,525.79,21375.00,-11850.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,22950.00,0.85,1.30,0.05,0.10,0.05,24611.10,46782.00,805261.14,25.96,169425.00,86775.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,27300.00,2756.20,2756.20,2642.40,2700.00,2700.00,24611.10,3.00,67.50,6.08,825.00,-75.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,26600.00,1950.65,1964.50,1940.95,1950.00,1950.00,24611.10,39.00,835.11,57.06,600.00,-2175.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,27350.00,-,-,-,1978.30,1978.30,24611.10,-,-,-,600.00,-,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,23200.00,0.95,1.45,0.05,0.10,0.05,24611.10,104629.00,1820609.65,65.05,564150.00,-17175.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,24250.00,1.15,2.50,0.05,0.20,0.10,24611.10,1271416.00,23124986.41,1107.91,3359700.00,1573800.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,26150.00,-,-,-,1476.55,1477.25,24611.10,-,-,-,2100.00,-,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,24300.00,1.45,2.60,0.05,0.20,0.05,24611.10,1901876.00,34663538.49,1848.39,5013450.00,446250.00,24611.10
NIFTY,30-Sep-2025,30-Sep-2025,PE,23500.00,0.85,1.45,0.05,0.10,0.10,24611.10,675433.00,11904900.42,393.80,4645350.00,188325.00,24611.10
