Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,28-Aug-2025,28-Aug-2025,PE,26700.00,2184.55,2184.55,2085.00,2085.00,2085.00,24500.90,2.00,43.25,3.20,2625.00,-75.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,26350.00,-,-,-,1360.85,1360.85,24500.90,-,-,-,4650.00,-,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,24500.00,9.80,47.85,0.05,7.90,0.05,24500.90,32829586.00,603521649.67,278006.92,16352100.00,8513100.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,22850.00,0.70,1.05,0.05,0.10,0.05,24500.90,31822.00,545365.06,15.54,138075.00,86325.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,26900.00,2270.05,2285.55,2268.95,2285.55,2285.55,24500.90,8.00,175.03,13.63,4200.00,-600.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,24700.00,64.00,222.45,52.60,203.35,199.00,24500.90,3910650.00,72765934.10,321142.85,2198325.00,-3661725.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,23350.00,0.25,1.30,0.05,0.10,0.05,24500.90,57514.00,1007249.22,35.30,188475.00,63675.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,22650.00,0.40,0.90,0.05,0.10,0.05,24500.90,48816.00,829281.85,20.05,192225.00,-377475.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,25850.00,1320.00,1320.00,1218.65,1316.40,1316.40,24500.90,25.00,508.35,23.66,8175.00,-675.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,27200.00,2698.60,2704.00,2556.20,2704.00,2704.00,24500.90,7.00,156.44,13.64,600.00,-,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,26000.00,1386.25,1524.25,1310.00,1505.75,1498.20,24500.90,6707.00,137958.40,7171.90,566625.00,-190275.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,22800.00,0.50,1.00,0.05,0.10,0.05,24500.90,69560.00,1189503.86,27.86,570525.00,-242175.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,25400.00,790.00,921.70,710.00,905.25,901.70,24500.90,2889.00,56812.41,1776.96,273525.00,-19800.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,25250.00,628.70,770.30,560.00,752.60,748.25,24500.90,1412.00,27463.42,723.67,68175.00,-36600.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,23400.00,0.80,1.45,0.05,0.10,0.05,24500.90,230292.00,4041759.79,135.19,1310925.00,930900.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,23500.00,0.70,1.55,0.05,0.10,0.05,24500.90,720389.00,12697244.65,388.52,5516325.00,2959200.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,26150.00,1519.30,1634.25,1519.30,1634.25,1634.25,24500.90,7.00,145.52,8.23,5475.00,-,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,27150.00,2579.20,2650.80,2576.00,2650.70,2650.70,24500.90,13.00,290.17,25.46,675.00,-,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,24250.00,3.95,4.90,0.05,0.20,0.05,24500.90,1292646.00,23511552.47,1553.35,1423575.00,105375.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,27350.00,-,-,-,2342.45,2342.45,24500.90,-,-,-,675.00,-,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,27000.00,2660.15,2660.15,2318.00,2508.80,2503.50,24500.90,2777.00,61321.58,5087.33,357000.00,-29400.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,23600.00,0.60,1.55,0.05,0.10,0.05,24500.90,314380.00,5564713.29,187.29,1581000.00,897300.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,24400.00,4.90,18.05,0.05,0.30,0.05,24500.90,6576440.00,120368424.90,19572.90,5098125.00,1674150.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,25450.00,779.55,969.75,779.20,955.05,948.50,24500.90,344.00,6794.36,228.26,25800.00,-6000.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,25900.00,1320.00,1420.90,1245.20,1413.30,1396.65,24500.90,161.00,3290.75,163.32,52125.00,-375.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,22900.00,0.70,1.10,0.05,0.10,0.10,24500.90,52648.00,904254.85,25.45,139275.00,-33525.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,23300.00,0.50,1.30,0.05,0.15,0.05,24500.90,129910.00,2270248.84,71.59,759825.00,309825.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,25600.00,965.30,1121.20,913.00,1104.25,1101.70,24500.90,2283.00,45591.31,1757.71,144150.00,-36300.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,25800.00,1231.90,1321.35,1115.55,1305.80,1302.00,24500.90,1041.00,21122.44,979.09,71850.00,-22725.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,24900.00,191.05,422.50,191.05,405.65,400.00,24500.90,143762.00,2718289.43,33534.08,918975.00,-1415025.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,24800.00,107.15,322.95,105.05,304.55,299.20,24500.90,713840.00,13386539.95,109115.95,1515900.00,-2648925.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,26250.00,1572.10,1705.20,1572.10,1705.20,1705.20,24500.90,3.00,62.70,3.64,3900.00,-75.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,27250.00,-,-,-,2242.90,2242.90,24500.90,-,-,-,675.00,-,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,26950.00,-,-,-,1830.00,1830.00,24500.90,-,-,-,525.00,-,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,24850.00,175.00,372.60,165.95,354.35,349.45,24500.90,116573.00,2194581.43,21952.14,282675.00,-796575.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,25650.00,1070.00,1161.30,966.65,1158.60,1154.55,24500.90,65.00,1302.71,52.27,9450.00,-1950.00,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,26450.00,-,-,-,1448.30,1448.30,24500.90,-,-,-,1650.00,-,24500.90
NIFTY,28-Aug-2025,28-Aug-2025,PE,24350.00,4.90,11.30,0.05,0.25,0.05,24500.90,2995777.00,54716520.08,6142.62,2779800.00,1421700.00,24500.90
