Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,29-May-2025,29-May-2025,PE,25050.00,250.00,398.10,182.70,236.40,216.05,24833.60,64364.00,1221803.06,12564.41,746325.00,-3675.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,22450.00,0.40,0.75,0.05,0.10,0.10,24833.60,19339.00,325627.13,6.72,87075.00,19050.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,25100.00,290.05,446.00,226.05,282.30,266.05,24833.60,80842.00,1541023.95,19173.30,833775.00,-571800.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,24650.00,40.10,49.00,0.05,0.45,0.05,24833.60,7163084.00,132488048.41,60532.96,3725700.00,1748250.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,26650.00,-,-,-,2099.75,2099.75,24833.60,-,-,-,600.00,-,24833.60
NIFTY,29-May-2025,29-May-2025,PE,25000.00,211.00,349.55,141.00,184.45,166.05,24833.60,569953.00,10781409.24,94790.49,3552600.00,-2923050.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,25200.00,387.05,543.30,313.60,382.30,367.00,24833.60,28478.00,547053.26,8819.06,282525.00,-148725.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,22350.00,0.80,0.85,0.05,0.15,0.05,24833.60,15509.00,259974.85,5.24,65925.00,10800.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,24700.00,50.05,75.00,0.05,0.55,0.05,24833.60,15085912.00,279666427.40,199907.60,11454450.00,5962425.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,20950.00,0.30,0.70,0.05,0.10,0.05,24833.60,11729.00,184295.18,3.27,62175.00,40275.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,23250.00,0.45,0.90,0.05,0.15,0.10,24833.60,51355.00,895522.67,19.86,268950.00,-198825.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,22050.00,0.40,0.75,0.05,0.10,0.05,24833.60,12842.00,212379.44,4.87,32925.00,-14925.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,21100.00,0.30,0.70,0.05,0.15,0.05,24833.60,12154.00,192340.82,3.77,70275.00,-32025.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,24950.00,173.10,301.00,99.00,133.10,116.10,24833.60,435093.00,8196010.66,54332.90,532500.00,-224925.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,24600.00,29.00,29.90,0.05,0.35,0.05,24833.60,6774874.00,125035589.35,39164.05,5302725.00,365325.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,20850.00,0.30,0.65,0.05,0.10,0.05,24833.60,25035.00,391490.97,6.16,47700.00,-12000.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,20400.00,0.20,0.55,0.05,0.15,0.05,24833.60,119598.00,1829874.17,24.77,657675.00,-445725.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,23450.00,0.50,0.90,0.05,0.15,0.05,24833.60,51995.00,914479.81,17.75,220425.00,-5775.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,21000.00,0.40,0.70,0.05,0.20,0.10,24833.60,99982.00,1574746.67,30.17,2858175.00,-980775.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,25900.00,1032.70,1235.00,1018.85,1107.50,1067.35,24833.60,405.00,8205.54,338.42,59625.00,-3450.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,20800.00,0.45,0.70,0.05,0.10,0.05,24833.60,25765.00,401941.15,7.15,258300.00,-44550.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,25700.00,856.20,992.00,856.20,880.15,871.40,24833.60,300.00,5991.47,208.97,16050.00,-375.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,22200.00,0.40,0.75,0.05,0.10,0.05,24833.60,26546.00,442000.32,9.42,195750.00,-97125.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,26200.00,1380.00,1476.25,1380.00,1440.00,1440.00,24833.60,19.00,393.80,20.45,1500.00,-225.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,25550.00,734.25,838.05,709.50,727.20,714.20,24833.60,308.00,6084.05,182.00,10200.00,-675.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,23750.00,0.75,1.00,0.05,0.15,0.05,24833.60,196605.00,3502106.90,80.34,475800.00,-249900.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,20900.00,0.35,0.70,0.05,0.15,0.05,24833.60,16889.00,264740.26,5.18,87675.00,-16500.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,21400.00,0.45,0.70,0.05,0.15,0.05,24833.60,11963.00,192010.07,3.92,114075.00,1275.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,23150.00,0.65,0.85,0.05,0.15,0.05,24833.60,30428.00,528318.52,12.37,100350.00,4350.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,23200.00,0.50,0.95,0.05,0.10,0.05,24833.60,96566.00,1680280.19,31.79,763200.00,-439125.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,20600.00,0.30,0.55,0.05,0.10,0.10,24833.60,57260.00,884681.07,14.07,368325.00,-32025.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,26450.00,-,-,-,1435.30,1435.30,24833.60,-,-,-,600.00,-,24833.60
NIFTY,29-May-2025,29-May-2025,PE,22850.00,0.75,0.85,0.05,0.10,0.10,24833.60,22049.00,377873.24,8.50,72600.00,-22500.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,21500.00,0.30,0.65,0.05,0.15,0.05,24833.60,42958.00,692711.75,14.00,1225575.00,-166275.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,26800.00,2000.00,2085.05,1968.00,1970.55,1973.05,24833.60,1055.00,22851.19,1645.69,8400.00,-63900.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,22150.00,0.80,0.80,0.05,0.15,0.10,24833.60,12148.00,201813.28,4.63,42000.00,14550.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,23050.00,0.55,0.85,0.05,0.05,0.05,24833.60,30306.00,523925.86,10.88,92325.00,-20625.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,24500.00,12.00,16.00,0.05,0.25,0.05,24833.60,4765134.00,87574366.76,15029.51,5134950.00,-2568300.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,25500.00,644.05,843.45,600.40,683.60,667.60,24833.60,9745.00,191627.23,5254.10,218025.00,-275400.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,23400.00,0.50,0.90,0.05,0.10,0.05,24833.60,120789.00,2119886.71,39.76,635250.00,-480225.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,23800.00,0.40,1.05,0.05,0.10,0.05,24833.60,480550.00,8578033.97,216.47,2232225.00,-1405650.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,26700.00,-,-,-,1955.80,1955.80,24833.60,-,-,-,1050.00,-,24833.60
NIFTY,29-May-2025,29-May-2025,PE,22950.00,0.45,0.80,0.05,0.10,0.10,24833.60,25745.00,443145.42,9.61,173925.00,68325.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,21800.00,0.30,0.75,0.05,0.15,0.05,24833.60,24724.00,404245.96,8.56,288900.00,-53850.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,26100.00,1390.00,1390.00,1268.50,1268.50,1268.50,24833.60,20.00,411.95,20.45,3000.00,-600.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,21150.00,0.55,0.70,0.05,0.10,0.05,24833.60,8108.00,128615.70,2.55,41625.00,21375.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,21950.00,0.35,0.70,0.05,0.15,0.10,24833.60,13714.00,225771.55,4.83,40800.00,-13950.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,20350.00,0.20,0.75,0.05,0.15,0.05,24833.60,425438.00,6493336.12,88.64,1542975.00,-1837050.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,21450.00,0.30,0.70,0.05,0.10,0.05,24833.60,15639.00,251597.39,4.98,57225.00,675.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,22300.00,0.30,0.75,0.05,0.10,0.05,24833.60,24340.00,407094.28,7.78,214650.00,-33750.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,20450.00,0.25,0.50,0.05,0.15,0.05,24833.60,75226.00,1153794.07,15.29,429750.00,-39975.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,24750.00,50.00,117.70,0.05,1.75,0.05,24833.60,12506939.00,232445675.61,285620.42,7495950.00,3265275.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,22800.00,0.40,1.95,0.05,0.10,0.05,24833.60,43578.00,745198.15,14.35,422250.00,-173250.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,25400.00,546.45,738.85,502.30,582.40,567.30,24833.60,3195.00,62339.80,1475.05,64575.00,-12525.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,24150.00,2.50,2.50,0.05,0.15,0.10,24833.60,714326.00,12938757.82,528.14,1977600.00,862575.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,26250.00,-,-,-,1236.00,1236.00,24833.60,-,-,-,600.00,-,24833.60
NIFTY,29-May-2025,29-May-2025,PE,22900.00,0.45,1.25,0.05,0.10,0.10,24833.60,44884.00,770899.48,16.78,284625.00,-59925.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,24200.00,2.10,3.85,0.05,0.15,0.05,24833.60,1680530.00,30502924.81,1305.31,3527325.00,-1386450.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,25600.00,768.05,937.45,701.75,781.55,767.00,24833.60,764.00,15142.07,473.27,27975.00,-22725.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,25750.00,874.35,1077.50,870.05,970.25,950.00,24833.60,225.00,4509.91,164.60,5775.00,-750.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,24350.00,8.65,8.65,0.05,0.20,0.05,24833.60,1397904.00,25531371.11,2149.31,1172850.00,-482175.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,21600.00,0.45,0.70,0.05,0.10,0.05,24833.60,15562.00,252109.81,5.41,68100.00,-39375.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,23900.00,0.60,1.35,0.05,0.15,0.05,24833.60,511964.00,9177207.10,252.40,1908975.00,-1052625.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,21900.00,0.45,0.75,0.05,0.15,0.05,24833.60,20313.00,333648.43,7.41,383475.00,20175.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,23650.00,0.90,1.00,0.05,0.15,0.10,24833.60,88253.00,1565424.35,36.76,427950.00,-104550.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,20700.00,0.25,0.60,0.05,0.15,0.05,24833.60,22362.00,347175.81,5.76,143850.00,-46200.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,24100.00,2.20,2.20,0.05,0.15,0.05,24833.60,856846.00,15488087.82,596.37,3402975.00,-7500.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,25300.00,483.70,642.75,405.55,480.70,467.25,24833.60,8750.00,169387.38,3356.13,136500.00,-64725.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,25650.00,865.70,967.35,787.10,819.65,818.45,24833.60,245.00,4875.44,162.25,7950.00,-1650.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,26750.00,-,-,-,1942.10,1942.10,24833.60,-,-,-,525.00,-,24833.60
NIFTY,29-May-2025,29-May-2025,PE,22000.00,0.45,0.80,0.05,0.15,0.05,24833.60,92974.00,1534103.61,32.61,1721850.00,-890025.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,24000.00,1.30,1.50,0.05,0.15,0.05,24833.60,1714983.00,30870683.44,989.44,8467350.00,-3115275.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,24300.00,5.00,5.00,0.05,0.20,0.05,24833.60,1698612.00,30959337.13,2133.43,3965325.00,-84900.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,24800.00,94.70,160.00,0.05,4.95,0.05,24833.60,11362146.00,211700742.03,364826.43,11456025.00,4040175.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,21300.00,2.00,2.00,0.05,0.10,0.05,24833.60,11653.00,186160.40,3.73,126525.00,-1575.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,25350.00,495.60,684.85,455.50,531.80,517.70,24833.60,1098.00,21346.65,470.93,22725.00,-2175.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,20750.00,0.25,0.60,0.05,0.15,0.05,24833.60,18030.00,280596.49,4.62,28875.00,-6225.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,21200.00,0.35,0.75,0.05,0.15,0.05,24833.60,18497.00,294108.04,5.74,126225.00,-2700.00,24833.60
NIFTY,29-May-2025,29-May-2025,PE,23600.00,0.50,1.00,0.05,0.15,0.10,24833.60,169543.00,3000976.91,65.81,1149600.00,-477825.00,24833.60
