Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,31-Jul-2025,31-Jul-2025,PE,26100.00,1464.60,1466.10,1170.00,1341.50,1330.35,24768.35,109.00,2243.96,110.28,12225.00,-1200.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,24650.00,51.95,80.90,0.05,0.50,0.05,24768.35,9152708.00,169351181.17,140492.02,5394750.00,771825.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,24150.00,1.35,4.85,0.05,0.15,0.05,24768.35,865857.00,15683666.79,831.88,1496775.00,-45150.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,24000.00,1.00,1.95,0.05,0.15,0.10,24768.35,1989372.00,35810232.70,1536.70,11372250.00,1339650.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,23050.00,0.70,0.90,0.05,0.10,0.05,24768.35,19411.00,335576.96,9.30,60525.00,13725.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,25600.00,918.20,970.00,634.90,826.95,831.00,24768.35,2901.00,57476.20,1777.00,494700.00,-89850.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,26650.00,1963.65,1981.75,1855.00,1855.00,1855.00,24768.35,12.00,257.49,17.64,1650.00,450.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,24550.00,22.55,39.85,0.05,0.25,0.05,24768.35,3682724.00,67833855.18,25699.53,2643450.00,-78000.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,22850.00,0.60,0.75,0.05,0.10,0.10,24768.35,20596.00,352971.52,7.57,70350.00,8400.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,22650.00,2.90,2.90,0.05,0.10,0.05,24768.35,17985.00,305526.93,6.74,66300.00,-33600.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,27150.00,-,-,-,1865.65,1864.85,24768.35,-,-,-,3825.00,-,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,23950.00,0.60,1.80,0.05,0.10,0.05,24768.35,540260.00,9704839.92,419.67,1362900.00,-3900.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,25200.00,512.00,574.70,230.50,418.95,430.60,24768.35,56808.00,1088802.51,15131.31,1446150.00,-511275.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,24200.00,3.00,3.40,0.05,0.15,0.05,24768.35,1788526.00,32463636.20,1889.30,4961550.00,-331125.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,23650.00,1.05,1.40,0.05,0.10,0.10,24768.35,270947.00,4806080.60,158.19,630825.00,128400.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,23500.00,0.80,1.35,0.05,0.10,0.05,24768.35,602357.00,10616833.28,291.15,3916575.00,-758775.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,25550.00,862.20,916.20,583.25,771.30,783.85,24768.35,748.00,14760.07,426.52,60225.00,-16800.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,22750.00,0.55,1.90,0.05,0.10,0.10,24768.35,10146.00,173119.95,3.83,34725.00,4350.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,26850.00,-,-,-,2033.20,2033.20,24768.35,-,-,-,975.00,-,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,25300.00,500.00,675.45,330.00,520.35,532.55,24768.35,16565.00,320227.15,5906.28,500250.00,-170250.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,26150.00,1514.50,1516.05,1325.00,1389.85,1389.85,24768.35,34.00,704.46,37.63,4575.00,-150.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,26400.00,1714.65,1739.15,1440.65,1492.00,1492.00,24768.35,42.00,884.63,53.03,6225.00,-1575.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,22700.00,0.40,0.75,0.05,0.10,0.10,24768.35,27434.00,467073.58,9.73,155775.00,-67200.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,22950.00,0.40,0.85,0.05,0.10,0.05,24768.35,19186.00,330247.33,8.30,49200.00,-3675.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,23250.00,0.45,1.00,0.05,0.10,0.05,24768.35,56201.00,980034.37,29.43,152550.00,69075.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,26800.00,2168.15,2168.20,1852.50,1852.50,1852.50,24768.35,23.00,498.32,36.02,4500.00,-75.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,27400.00,2700.00,2710.00,2495.00,2495.00,2495.00,24768.35,6.00,135.06,11.76,6600.00,-300.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,25750.00,1114.75,1127.75,791.25,979.25,983.45,24768.35,318.00,6369.57,228.19,35925.00,-3300.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,24500.00,18.80,27.60,0.05,0.25,0.10,24768.35,5061679.00,93034656.34,26304.72,5961075.00,-2223675.00,24768.35
NIFTY,31-Jul-2025,31-Jul-2025,PE,27100.00,-,-,-,2236.10,2236.10,24768.35,-,-,-,900.00,-,24768.35
