Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Jan-2025,30-Jan-2025,PE,23400.00,280.60,314.05,125.10,167.05,150.85,23249.50,1705799.00,10055733.13,76808.98,1131475.00,17650.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,25100.00,1935.00,1949.35,1793.55,1863.15,1855.15,23249.50,780.00,5260.72,366.22,14825.00,-6000.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,25150.00,1971.70,1971.70,1859.00,1923.55,1898.45,23249.50,116.00,785.68,56.33,7475.00,-1975.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,21650.00,0.65,0.70,0.05,0.15,0.05,23249.50,50524.00,273464.65,3.50,119525.00,-117425.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,21700.00,0.45,0.50,0.05,0.10,0.05,23249.50,103718.00,562677.07,6.92,478650.00,-360325.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,22950.00,48.40,80.90,0.05,0.30,0.10,23249.50,10018826.00,57507456.55,24442.38,2152675.00,-551725.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,23000.00,29.00,98.00,0.05,0.35,0.10,23249.50,17359807.00,99885874.91,66984.66,10013800.00,-1895775.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,23450.00,317.45,351.55,162.60,214.35,200.40,23249.50,336898.00,1993616.68,18552.15,307900.00,10675.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,23500.00,351.10,394.30,202.80,266.35,250.90,23249.50,660529.00,3924837.71,44229.83,1398925.00,-285025.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,24750.00,1596.85,1596.90,1442.80,1517.25,1504.00,23249.50,130.00,853.56,49.19,11875.00,-875.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,24800.00,1650.05,1660.40,1490.30,1563.80,1552.45,23249.50,3220.00,21224.49,1260.49,46925.00,-45775.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,21750.00,0.35,0.60,0.05,0.10,0.10,23249.50,144855.00,787660.32,11.26,191725.00,-183575.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,23050.00,77.80,117.40,0.10,0.55,0.15,23249.50,10219746.00,58936058.59,44772.26,2892250.00,149425.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,23550.00,418.00,436.50,248.00,313.35,299.75,23249.50,52425.00,312703.87,4051.68,71975.00,-6675.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,25200.00,2056.00,2061.25,1895.00,1971.75,1955.00,23249.50,962.00,6537.38,476.78,11200.00,-14700.00,23249.50
NIFTY,30-Jan-2025,30-Jan-2025,PE,21800.00,0.40,0.65,0.05,0.05,0.05,23249.50,288885.00,1574445.26,22.01,927250.00,-1252950.00,23249.50
