Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,24-Oct-2025,25-Nov-2025,PE,23150.00,-,-,-,17.00,16.00,0.30,-,-,-,525.00,-,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,24450.00,33.60,42.00,32.30,35.35,35.55,35.35,160.00,2938.34,4.34,22575.00,4500.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,25050.00,71.90,97.80,68.15,82.35,82.35,82.35,341.00,6427.12,20.58,30300.00,3525.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,26950.00,885.50,1038.80,885.50,1038.80,1038.80,1038.80,8.00,167.34,5.64,750.00,75.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,25700.00,182.95,265.10,182.95,230.60,229.95,230.60,14874.00,289229.68,2533.33,926550.00,39825.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,27500.00,1429.00,1612.00,1386.00,1541.45,1540.40,1541.45,1819.00,39563.76,2046.88,214950.00,119550.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,27000.00,929.00,1150.00,914.65,1080.90,1079.00,1080.90,5378.00,113089.05,4184.55,542100.00,187200.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,25500.00,135.95,196.70,131.45,168.10,167.00,168.10,45339.00,872640.95,5532.57,2300175.00,131700.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,23700.00,19.50,19.60,15.35,16.95,15.35,16.95,1899.00,33779.96,25.23,121575.00,-2250.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,24100.00,25.00,27.95,18.65,24.05,26.85,24.05,2155.00,38991.71,40.09,90825.00,-14775.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,26300.00,421.70,580.00,411.20,523.45,529.10,523.45,2951.00,59307.38,1098.90,183675.00,-12825.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,27350.00,1404.35,1404.35,1404.35,1404.35,1404.35,1404.35,1.00,21.57,1.06,450.00,75.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,24650.00,40.50,54.90,38.45,45.80,45.75,45.80,255.00,4722.95,8.64,37125.00,5025.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,23400.00,15.35,15.75,11.25,13.55,14.25,13.55,483.00,8481.75,5.10,36900.00,-3525.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,24300.00,26.05,34.40,26.00,29.80,27.30,29.80,2646.00,48284.81,61.46,339375.00,-1875.00,25795.15
NIFTY,24-Oct-2025,25-Nov-2025,PE,23800.00,27.60,27.65,17.10,18.55,17.75,18.55,2597.00,46393.68,37.23,225600.00,12075.00,25795.15
